,Mito,ConA,WGA,DAPI,Phalloidin,Sum
OR11H7,20.0,11.0,42.0,43.0,14.0,139.0
OR2AG2,26.0,32.0,27.0,54.0,18.0,151.0
OR2AT4,41.0,19.0,14.0,17.0,21.0,118.0
OR4C6,39.0,20.0,33.0,52.0,16.0,163.0
ORAI3,18.0,15.0,32.0,24.0,41.0,133.0
ORC1,25.0,29.0,28.0,27.0,36.0,162.0
ORC4,16.0,15.0,17.0,54.0,11.0,119.0
OSBPL10,25.0,8.0,16.0,56.0,18.0,132.0
OSBPL5,47.0,29.0,18.0,26.0,15.0,138.0
OSBPL8,26.0,11.0,48.0,13.0,19.0,122.0
OSGIN1,17.0,26.0,26.0,16.0,18.0,105.0
OTUB1,28.0,30.0,24.0,25.0,16.0,120.0
OTUD5,16.0,13.0,19.0,30.0,36.0,122.0
OXSM,18.0,19.0,46.0,51.0,11.0,139.0
P2RY1,19.0,12.0,42.0,20.0,36.0,139.0
P2RY11,37.0,20.0,15.0,35.0,22.0,129.0
P2RY14,16.0,10.0,28.0,61.0,14.0,137.0
P3H3,40.0,27.0,15.0,13.0,22.0,116.0
PABPN1,23.0,16.0,49.0,26.0,33.0,144.0
PACS1,15.0,12.0,38.0,15.0,15.0,110.0
PAF1,18.0,10.0,28.0,28.0,63.0,153.0
PAFAH1B2,54.0,17.0,21.0,18.0,26.0,135.0
PAK6,30.0,14.0,13.0,23.0,44.0,128.0
PALB2,36.0,14.0,40.0,47.0,25.0,165.0
PAPOLG,47.0,13.0,19.0,12.0,12.0,101.0
PAQR8,12.0,16.0,14.0,18.0,45.0,114.0
PARD6B,34.0,27.0,25.0,38.0,16.0,143.0
PARL,21.0,24.0,16.0,8.0,21.0,101.0
PARP10,43.0,31.0,17.0,34.0,24.0,162.0
PAX5,13.0,28.0,16.0,16.0,13.0,90.0
PBX2,21.0,9.0,27.0,31.0,42.0,140.0
PCBD1,16.0,17.0,33.0,54.0,21.0,152.0
PCBP1,29.0,20.0,40.0,20.0,12.0,132.0
PCBP3,20.0,9.0,13.0,46.0,46.0,145.0
PCDH12,19.0,11.0,23.0,63.0,20.0,136.0
PCDH7,42.0,23.0,16.0,15.0,20.0,114.0
PCDHA8,25.0,15.0,16.0,58.0,17.0,142.0
PCDHB12,17.0,11.0,22.0,34.0,35.0,129.0
PCDHGA6,15.0,11.0,46.0,22.0,46.0,147.0
PCDHGB5,22.0,13.0,23.0,22.0,35.0,114.0
PCGF2,31.0,16.0,47.0,14.0,15.0,122.0
PCIF1,23.0,34.0,20.0,13.0,15.0,111.0
PCM1,21.0,26.0,10.0,17.0,12.0,92.0
PCMTD2,18.0,25.0,12.0,25.0,20.0,100.0
PCNT,25.0,20.0,23.0,53.0,17.0,141.0
PDAP1,28.0,29.0,37.0,31.0,21.0,152.0
PDE12,15.0,10.0,28.0,20.0,37.0,116.0
PDE1C,12.0,10.0,12.0,10.0,37.0,87.0
PDGFB,36.0,24.0,23.0,29.0,15.0,132.0
PDGFD,23.0,62.0,18.0,37.0,12.0,150.0
PDHB,21.0,36.0,51.0,31.0,13.0,154.0
PDIA2,39.0,21.0,17.0,32.0,19.0,131.0
PDLIM4,19.0,12.0,24.0,46.0,42.0,161.0
PDXDC1,38.0,21.0,23.0,36.0,21.0,142.0
PDZD2,16.0,16.0,39.0,57.0,15.0,147.0
PDZD4,29.0,26.0,17.0,35.0,20.0,133.0
PDZK1,19.0,13.0,30.0,35.0,46.0,157.0
PELP1,13.0,13.0,48.0,29.0,15.0,122.0
PFDN5,11.0,11.0,17.0,11.0,40.0,92.0
PFN2,17.0,10.0,17.0,53.0,17.0,132.0
PGBD4,32.0,44.0,14.0,17.0,14.0,122.0
PHF13,31.0,13.0,38.0,15.0,24.0,132.0
PHKB,37.0,32.0,19.0,44.0,18.0,153.0
PHLDB3,17.0,26.0,13.0,35.0,22.0,124.0
PHTF2,18.0,14.0,20.0,32.0,33.0,111.0
PI3,26.0,12.0,22.0,37.0,37.0,144.0
PIANP,40.0,23.0,18.0,47.0,23.0,151.0
PIAS2,50.0,26.0,14.0,23.0,16.0,132.0
PICALM,27.0,31.0,24.0,38.0,17.0,142.0
PICK1,40.0,17.0,26.0,40.0,9.0,129.0
PIGQ,30.0,40.0,15.0,21.0,20.0,127.0
PIGW,23.0,13.0,37.0,43.0,19.0,144.0
PIH1D3,17.0,9.0,12.0,17.0,72.0,133.0
PIK3CB,14.0,10.0,46.0,34.0,19.0,127.0
PIK3R4,15.0,15.0,75.0,33.0,15.0,155.0
PIK3R6,30.0,27.0,24.0,15.0,11.0,120.0
PIP5K1A,25.0,10.0,33.0,21.0,60.0,152.0
PITPNM3,37.0,26.0,24.0,21.0,21.0,130.0
PITRM1,40.0,24.0,25.0,23.0,16.0,129.0
PKLR,38.0,27.0,26.0,23.0,24.0,153.0
PKP4,12.0,25.0,14.0,9.0,11.0,74.0
PLAC8,19.0,13.0,21.0,48.0,45.0,150.0
PLCH2,35.0,40.0,27.0,15.0,24.0,137.0
PLCXD1,16.0,14.0,37.0,33.0,19.0,117.0
PLEKHD1,28.0,27.0,11.0,13.0,14.0,95.0
PLEKHF1,34.0,16.0,32.0,54.0,22.0,155.0
PLEKHG6,30.0,24.0,28.0,26.0,14.0,142.0
PLET1,41.0,24.0,23.0,36.0,11.0,133.0
PLSCR1,28.0,24.0,19.0,34.0,29.0,146.0
PLSCR4,21.0,26.0,32.0,33.0,28.0,159.0
PLXNA2,24.0,13.0,39.0,54.0,21.0,152.0
PMCH,32.0,36.0,14.0,14.0,15.0,119.0
PMEL,20.0,10.0,22.0,32.0,46.0,133.0
PML,21.0,21.0,24.0,18.0,40.0,134.0
PMPCA,37.0,19.0,31.0,21.0,19.0,133.0
PNKD,35.0,42.0,15.0,15.0,21.0,135.0
PNMA2,25.0,15.0,25.0,24.0,44.0,134.0
PNMA3,20.0,10.0,15.0,64.0,27.0,151.0
PNP,22.0,11.0,25.0,22.0,60.0,138.0
PNPO,12.0,14.0,13.0,20.0,34.0,95.0
POLD1,22.0,15.0,22.0,30.0,34.0,136.0
POLR1A,21.0,20.0,49.0,23.0,21.0,135.0
POLR2E,13.0,12.0,17.0,63.0,17.0,138.0
POLR2J3,24.0,12.0,55.0,27.0,46.0,163.0
POLR2M,23.0,24.0,17.0,18.0,15.0,109.0
POLR3A,23.0,20.0,16.0,32.0,33.0,139.0
POLR3B,17.0,13.0,22.0,53.0,13.0,132.0
POLR3H,12.0,11.0,13.0,22.0,47.0,105.0
POLR3K,20.0,11.0,37.0,13.0,18.0,109.0
POLRMT,38.0,12.0,20.0,15.0,12.0,107.0
POMZP3,37.0,34.0,28.0,16.0,29.0,137.0
PON1,40.0,24.0,21.0,44.0,21.0,159.0
POU6F1,23.0,19.0,33.0,58.0,17.0,158.0
PPAPDC2,33.0,20.0,42.0,29.0,16.0,145.0
PPARA,43.0,47.0,17.0,13.0,21.0,140.0
PPCDC,25.0,13.0,24.0,27.0,35.0,126.0
PPFIBP1,40.0,15.0,24.0,31.0,26.0,132.0
PPHLN1,13.0,13.0,19.0,66.0,44.0,164.0
PPIF,21.0,13.0,41.0,28.0,21.0,125.0
PPIL2,25.0,17.0,37.0,57.0,16.0,159.0
PPIL4,19.0,35.0,26.0,21.0,10.0,127.0
PPIP5K2,14.0,9.0,32.0,21.0,32.0,115.0
PPM1A,26.0,29.0,23.0,46.0,27.0,162.0
PPM1B,28.0,26.0,18.0,26.0,23.0,125.0
PPM1G,17.0,20.0,70.0,28.0,20.0,152.0
PPM1J,22.0,12.0,22.0,61.0,18.0,145.0
PPM1L,20.0,16.0,34.0,23.0,42.0,145.0
PPP1R10,28.0,15.0,34.0,21.0,43.0,146.0
PPP1R11,25.0,16.0,47.0,40.0,25.0,155.0
PPP1R2B,39.0,19.0,16.0,22.0,21.0,121.0
PPP1R32,21.0,9.0,29.0,12.0,33.0,122.0
PPP1R35,30.0,13.0,37.0,32.0,44.0,150.0
PPP1R3C,42.0,18.0,51.0,21.0,20.0,160.0
PPP1R3F,46.0,25.0,20.0,23.0,15.0,127.0
PPP1R8,22.0,14.0,40.0,36.0,30.0,152.0
PPP2R2A,13.0,11.0,40.0,29.0,13.0,101.0
PPP2R3A,14.0,10.0,15.0,54.0,17.0,116.0
PPP2R5C,23.0,15.0,39.0,43.0,17.0,147.0
PPP3R1,20.0,19.0,18.0,63.0,14.0,138.0
PPP4R1,11.0,11.0,19.0,56.0,14.0,123.0
PPP5C,17.0,24.0,10.0,23.0,12.0,100.0
PPTC7,50.0,19.0,17.0,32.0,10.0,139.0
PQLC3,13.0,10.0,46.0,29.0,13.0,118.0
PRCD,19.0,16.0,41.0,30.0,23.0,136.0
PRCP,16.0,12.0,45.0,20.0,24.0,122.0
PRDM4,37.0,16.0,16.0,28.0,16.0,113.0
PRDX5,14.0,24.0,15.0,15.0,14.0,82.0
PRELID3B,31.0,23.0,61.0,25.0,22.0,161.0
PREPL,20.0,12.0,56.0,41.0,19.0,153.0
PRG4,21.0,13.0,35.0,30.0,35.0,140.0
PRH1,24.0,12.0,46.0,25.0,12.0,130.0
PRH2,38.0,38.0,21.0,22.0,23.0,142.0
PRICKLE1,11.0,11.0,17.0,20.0,42.0,97.0
PRICKLE3,18.0,12.0,43.0,17.0,17.0,109.0
PRKACA,21.0,11.0,22.0,59.0,27.0,150.0
PRKAG1,39.0,24.0,23.0,41.0,16.0,150.0
PRKAR1B,20.0,10.0,23.0,23.0,34.0,112.0
PRKCA,31.0,20.0,23.0,54.0,15.0,152.0
PRKCQ,39.0,15.0,43.0,35.0,27.0,159.0
PRMT1,39.0,25.0,24.0,34.0,42.0,163.0
PROX1,32.0,13.0,37.0,45.0,14.0,144.0
PRR12,21.0,12.0,17.0,43.0,35.0,131.0
PRR14,46.0,30.0,28.0,38.0,15.0,164.0
PRRC2C,29.0,15.0,47.0,37.0,13.0,146.0
PRRX1,18.0,22.0,43.0,46.0,17.0,164.0
PRSS35,24.0,15.0,50.0,41.0,19.0,148.0
PRSS53,24.0,34.0,15.0,22.0,20.0,120.0
PSCA,14.0,8.0,17.0,20.0,44.0,108.0
PSENEN,14.0,11.0,18.0,22.0,47.0,115.0
PSG1,27.0,14.0,46.0,28.0,21.0,130.0
PSG11,27.0,25.0,38.0,52.0,22.0,159.0
PSG2,26.0,15.0,19.0,57.0,25.0,148.0
PSG6,33.0,25.0,21.0,59.0,13.0,149.0
PSG7,17.0,12.0,19.0,71.0,24.0,144.0
PSMA2,23.0,9.0,25.0,43.0,41.0,162.0
PSMA4,25.0,12.0,26.0,41.0,32.0,155.0
PSMB1,23.0,11.0,51.0,30.0,21.0,142.0
PSMB2,27.0,15.0,31.0,28.0,52.0,165.0
PSMC1,39.0,11.0,19.0,20.0,20.0,113.0
PSMC2,22.0,11.0,47.0,36.0,25.0,147.0
PSMC5,22.0,12.0,31.0,31.0,46.0,142.0
PSMD1,17.0,15.0,15.0,26.0,34.0,107.0
PSMD2,18.0,9.0,13.0,18.0,92.0,166.0
PSMD4,25.0,13.0,41.0,72.0,15.0,162.0
PSMD7,22.0,12.0,28.0,32.0,36.0,148.0
PSMF1,18.0,10.0,13.0,54.0,19.0,120.0
PSMG1,26.0,33.0,19.0,25.0,16.0,116.0
PSPN,14.0,13.0,16.0,66.0,21.0,139.0
PTDSS1,46.0,22.0,27.0,39.0,10.0,144.0
PTGDR2,36.0,36.0,20.0,29.0,26.0,159.0
PTGES2,15.0,13.0,35.0,34.0,32.0,127.0
PTGES3L-AARSD1,31.0,28.0,28.0,23.0,44.0,160.0
PTGS2,20.0,11.0,29.0,37.0,62.0,164.0
PTH1R,40.0,19.0,14.0,8.0,17.0,109.0
PTH2R,22.0,12.0,47.0,34.0,13.0,135.0
PTHLH,29.0,39.0,29.0,21.0,17.0,137.0
PTK2,20.0,10.0,22.0,30.0,38.0,126.0
PTK6,21.0,15.0,20.0,59.0,13.0,131.0
PTK7,39.0,15.0,38.0,40.0,19.0,160.0
PTPN11,18.0,13.0,15.0,71.0,33.0,152.0
PTPN23,25.0,11.0,48.0,23.0,29.0,133.0
PTPN3,14.0,8.0,15.0,34.0,53.0,135.0
PTPN4,40.0,13.0,16.0,24.0,17.0,114.0
PTPN5,36.0,19.0,28.0,58.0,16.0,165.0
PTPRJ,23.0,16.0,64.0,28.0,25.0,162.0
PTPRM,19.0,17.0,19.0,54.0,16.0,134.0
PUM2,37.0,14.0,18.0,58.0,27.0,165.0
PUS1,14.0,9.0,11.0,12.0,36.0,92.0
PUS7L,48.0,22.0,17.0,52.0,12.0,159.0
PWP1,23.0,12.0,29.0,54.0,22.0,145.0
PXDNL,24.0,24.0,19.0,36.0,16.0,127.0
PXK,22.0,12.0,14.0,17.0,32.0,109.0
PXMP4,18.0,16.0,17.0,26.0,35.0,116.0
PXN,38.0,15.0,21.0,31.0,29.0,151.0
PYDC5,33.0,26.0,23.0,32.0,13.0,135.0
PYGB,26.0,8.0,39.0,32.0,26.0,131.0
PYGL,35.0,31.0,21.0,21.0,16.0,132.0
PYROXD2,22.0,24.0,32.0,20.0,15.0,113.0
QPRT,23.0,17.0,17.0,66.0,22.0,148.0
RAB11FIP1,25.0,24.0,14.0,12.0,16.0,96.0
RAB18,23.0,10.0,43.0,31.0,21.0,140.0
RAB26,16.0,14.0,19.0,55.0,14.0,124.0
RAB2A,17.0,17.0,88.0,16.0,23.0,163.0
RAB3IL1,20.0,16.0,21.0,47.0,37.0,151.0
RAB40AL,23.0,25.0,28.0,44.0,25.0,148.0
RAB41,20.0,11.0,16.0,61.0,12.0,126.0
RAB44,26.0,12.0,21.0,14.0,37.0,116.0
RAB4B,27.0,16.0,28.0,53.0,22.0,159.0
RAB6A,30.0,15.0,41.0,26.0,14.0,137.0
RAB6C,28.0,19.0,41.0,23.0,24.0,136.0
RAB7B,39.0,16.0,17.0,28.0,19.0,120.0
RABEP2,37.0,17.0,39.0,21.0,21.0,138.0
RAD51C,39.0,21.0,19.0,27.0,19.0,129.0
RAI1,39.0,23.0,17.0,22.0,22.0,123.0
RALB,12.0,9.0,16.0,64.0,12.0,128.0
RAP1A,38.0,47.0,30.0,24.0,21.0,157.0
RAP1GAP,40.0,20.0,16.0,14.0,30.0,125.0
RAPH1,13.0,27.0,15.0,19.0,17.0,102.0
RASA4,21.0,11.0,29.0,27.0,48.0,142.0
RASSF3,21.0,14.0,12.0,57.0,15.0,128.0
RAVER2,19.0,16.0,22.0,53.0,22.0,140.0
RBBP4,27.0,14.0,16.0,17.0,32.0,109.0
RBBP5,38.0,20.0,21.0,44.0,36.0,163.0
RBBP7,31.0,12.0,19.0,24.0,36.0,123.0
RBBP8NL,22.0,16.0,39.0,50.0,17.0,150.0
RBFOX2,36.0,19.0,43.0,32.0,30.0,162.0
RBM20,17.0,16.0,37.0,24.0,23.0,123.0
RBM38,39.0,35.0,30.0,28.0,14.0,155.0
RBM47,14.0,12.0,38.0,18.0,21.0,100.0
RBM48,33.0,24.0,27.0,33.0,32.0,155.0
RBP3,31.0,14.0,30.0,37.0,40.0,164.0
RBPJ,58.0,21.0,23.0,37.0,20.0,158.0
RCAN1,47.0,24.0,14.0,34.0,13.0,145.0
RCVRN,17.0,13.0,14.0,71.0,23.0,140.0
RECQL4,32.0,18.0,16.0,54.0,18.0,144.0
REEP3,26.0,22.0,21.0,60.0,20.0,161.0
REEP5,14.0,14.0,30.0,20.0,35.0,112.0
RELL2,22.0,14.0,49.0,24.0,33.0,144.0
REPS2,14.0,8.0,13.0,9.0,32.0,78.0
RER1,22.0,13.0,16.0,14.0,42.0,121.0
RET,24.0,19.0,26.0,61.0,26.0,159.0
RFK,30.0,19.0,25.0,59.0,18.0,156.0
RFLNB,13.0,12.0,18.0,21.0,37.0,102.0
RFPL2,24.0,25.0,16.0,12.0,16.0,92.0
RFPL4AL1,23.0,14.0,27.0,59.0,24.0,157.0
RFTN1,11.0,10.0,19.0,27.0,41.0,113.0
RFTN2,23.0,15.0,52.0,36.0,23.0,151.0
RFX3,24.0,17.0,41.0,28.0,17.0,134.0
RGL4,13.0,11.0,19.0,68.0,29.0,154.0
RGPD2,32.0,25.0,22.0,41.0,24.0,149.0
RGPD4,37.0,19.0,17.0,29.0,17.0,129.0
RGS11,46.0,15.0,25.0,35.0,17.0,155.0
RGS2,24.0,15.0,22.0,30.0,42.0,145.0
RHBDD3,48.0,23.0,42.0,31.0,17.0,159.0
RHBG,31.0,19.0,16.0,57.0,16.0,140.0
RHOH,29.0,18.0,39.0,38.0,12.0,132.0
RHOT1,16.0,17.0,39.0,40.0,14.0,136.0
RIBC2,12.0,15.0,48.0,20.0,18.0,119.0
RIC8B,28.0,21.0,21.0,23.0,65.0,155.0
RILPL2,12.0,12.0,19.0,13.0,32.0,96.0
RIMBP2,27.0,12.0,39.0,20.0,15.0,117.0
RIMKLB,16.0,14.0,51.0,39.0,23.0,149.0
RIMS1,18.0,11.0,26.0,15.0,78.0,149.0
RIOK1,13.0,15.0,36.0,34.0,39.0,140.0
RIOK3,54.0,20.0,19.0,12.0,14.0,127.0
RIPK1,30.0,12.0,16.0,40.0,37.0,144.0
RLN2,41.0,16.0,18.0,41.0,15.0,135.0
RNASE4,41.0,28.0,17.0,11.0,12.0,118.0
RNASEH2C,23.0,10.0,37.0,26.0,20.0,121.0
RND2,37.0,24.0,24.0,54.0,22.0,161.0
RNF103-CHMP3,14.0,16.0,29.0,28.0,38.0,137.0
RNF130,31.0,19.0,29.0,57.0,20.0,156.0
RNF138,37.0,14.0,21.0,27.0,21.0,124.0
RNF139,22.0,15.0,39.0,54.0,23.0,166.0
RNF14,22.0,16.0,52.0,29.0,17.0,142.0
RNF145,14.0,13.0,52.0,19.0,19.0,120.0
RNF150,14.0,13.0,17.0,41.0,34.0,125.0
RNF166,19.0,15.0,10.0,15.0,34.0,95.0
RNF217,12.0,8.0,17.0,18.0,69.0,132.0
RNF24,16.0,11.0,14.0,87.0,10.0,148.0
RNF38,23.0,10.0,13.0,11.0,36.0,96.0
RNF39,20.0,16.0,27.0,56.0,25.0,148.0
RNF40,19.0,15.0,29.0,61.0,17.0,144.0
RNFT2,42.0,16.0,32.0,20.0,25.0,133.0
ROBO1,29.0,36.0,20.0,14.0,11.0,108.0
ROCK2,13.0,10.0,17.0,30.0,77.0,159.0
ROGDI,25.0,13.0,52.0,18.0,21.0,126.0
RP1,38.0,19.0,17.0,23.0,19.0,119.0
RPEL1,26.0,12.0,32.0,35.0,44.0,155.0
RPF1,20.0,11.0,25.0,56.0,23.0,151.0
RPL23,21.0,16.0,32.0,23.0,33.0,134.0
RPL24,40.0,51.0,20.0,26.0,24.0,163.0
RPL28,31.0,24.0,23.0,28.0,25.0,137.0
RPL39,21.0,18.0,51.0,40.0,16.0,156.0
RPL4,33.0,16.0,44.0,43.0,20.0,162.0
RPL5,29.0,20.0,20.0,44.0,33.0,154.0
RPN1,19.0,18.0,35.0,18.0,61.0,156.0
RPRD1B,31.0,18.0,28.0,37.0,35.0,160.0
RPRM,27.0,18.0,18.0,34.0,45.0,153.0
RPS11,23.0,13.0,64.0,37.0,23.0,156.0
RPS15,29.0,12.0,34.0,34.0,50.0,162.0
RPS16,31.0,14.0,30.0,27.0,52.0,161.0
RPS19,26.0,20.0,48.0,41.0,17.0,150.0
RPS2,22.0,14.0,37.0,24.0,13.0,110.0
RPS24,35.0,22.0,28.0,31.0,39.0,162.0
RPS6KA5,12.0,12.0,13.0,8.0,45.0,95.0
RPSA,27.0,14.0,19.0,64.0,17.0,146.0
RPUSD1,18.0,15.0,27.0,56.0,14.0,136.0
RRAGA,26.0,14.0,13.0,25.0,48.0,140.0
RRH,12.0,14.0,27.0,54.0,17.0,126.0
RRP12,45.0,33.0,35.0,35.0,12.0,166.0
RSBN1,19.0,26.0,22.0,12.0,10.0,91.0
RSL1D1,36.0,14.0,26.0,62.0,16.0,166.0
RSL24D1,27.0,16.0,59.0,33.0,29.0,164.0
RSPH1,22.0,12.0,35.0,32.0,49.0,158.0
RSPH10B2,27.0,11.0,38.0,21.0,43.0,141.0
RSRC2,23.0,17.0,35.0,60.0,18.0,162.0
RSRP1,25.0,23.0,18.0,69.0,20.0,164.0
RTN4IP1,23.0,14.0,45.0,36.0,31.0,152.0
RTN4RL2,37.0,20.0,20.0,37.0,18.0,132.0
RUVBL1,24.0,16.0,18.0,35.0,50.0,150.0
S1PR3,15.0,9.0,13.0,24.0,37.0,104.0
SACM1L,23.0,26.0,46.0,18.0,18.0,130.0
SALL2,22.0,12.0,29.0,27.0,40.0,142.0
SAMSN1,29.0,24.0,23.0,29.0,22.0,136.0
SAR1A,28.0,26.0,13.0,9.0,12.0,99.0
SARNP,38.0,23.0,40.0,27.0,26.0,152.0
SART1,36.0,12.0,22.0,21.0,47.0,144.0
SBDS,24.0,15.0,51.0,17.0,19.0,132.0
SBK1,25.0,17.0,19.0,78.0,16.0,159.0
SBNO1,26.0,15.0,28.0,20.0,68.0,155.0
SCAF1,39.0,12.0,59.0,23.0,25.0,157.0
SCAND1,20.0,26.0,25.0,35.0,22.0,129.0
SCARB1,38.0,15.0,26.0,33.0,24.0,141.0
SCARF1,37.0,16.0,25.0,19.0,33.0,140.0
SCCPDH,22.0,15.0,53.0,19.0,38.0,153.0
SCD5,23.0,10.0,19.0,14.0,47.0,124.0
SCNN1A,25.0,16.0,29.0,41.0,44.0,163.0
SCRIB,36.0,22.0,19.0,33.0,45.0,153.0
SCYL3,24.0,15.0,42.0,25.0,33.0,147.0
SDE2,18.0,11.0,21.0,54.0,34.0,149.0
SDHAF2,20.0,13.0,16.0,65.0,14.0,138.0
SDR42E1,14.0,10.0,68.0,37.0,32.0,160.0
SEC14L4,19.0,11.0,51.0,21.0,26.0,133.0
SEC23B,39.0,22.0,34.0,45.0,27.0,165.0
SEC24B,36.0,32.0,24.0,21.0,14.0,130.0
SEC31B,42.0,25.0,22.0,38.0,17.0,144.0
SEC61A1,20.0,11.0,13.0,38.0,49.0,139.0
SEC63,23.0,18.0,44.0,24.0,13.0,135.0
SELENBP1,26.0,25.0,19.0,18.0,24.0,113.0
SELT,40.0,12.0,29.0,29.0,22.0,143.0
SEM1,24.0,23.0,39.0,19.0,18.0,131.0
SEMA4A,32.0,13.0,54.0,24.0,25.0,155.0
SEMA4B,17.0,11.0,34.0,45.0,39.0,148.0
SEMA4F,16.0,14.0,19.0,54.0,19.0,129.0
SERPIND1,28.0,25.0,23.0,36.0,18.0,140.0
SERTAD1,26.0,14.0,48.0,60.0,21.0,162.0
SERTAD3,24.0,15.0,12.0,74.0,21.0,155.0
SETBP1,52.0,22.0,18.0,38.0,21.0,157.0
SETDB1,24.0,11.0,21.0,56.0,14.0,132.0
SF3B2,32.0,32.0,22.0,52.0,35.0,157.0
SFSWAP,18.0,13.0,39.0,43.0,21.0,138.0
SFT2D2,24.0,20.0,48.0,25.0,22.0,138.0
SGCB,14.0,9.0,22.0,25.0,35.0,105.0
SH2B2,26.0,33.0,17.0,13.0,18.0,105.0
SH3BP1,43.0,19.0,17.0,25.0,13.0,118.0
SH3BP4,26.0,17.0,31.0,67.0,17.0,160.0
SH3BP5,33.0,25.0,20.0,25.0,15.0,121.0
SH3BP5L,24.0,22.0,33.0,41.0,33.0,158.0
SH3YL1,25.0,15.0,19.0,23.0,43.0,124.0
SHC2,23.0,14.0,22.0,53.0,15.0,132.0
SHC4,33.0,11.0,45.0,31.0,36.0,160.0
SHE,35.0,24.0,24.0,37.0,20.0,145.0
SHISA2,29.0,26.0,19.0,23.0,10.0,114.0
SHISA4,22.0,19.0,22.0,27.0,35.0,130.0
SHKBP1,28.0,12.0,65.0,38.0,23.0,161.0
SIAH2,45.0,21.0,26.0,16.0,13.0,122.0
SIGIRR,39.0,29.0,35.0,25.0,20.0,150.0
SIPA1,25.0,17.0,19.0,16.0,35.0,103.0
SIRT5,26.0,8.0,29.0,26.0,46.0,146.0
SKIDA1,18.0,12.0,31.0,20.0,32.0,120.0
SLC11A2,15.0,12.0,13.0,18.0,34.0,94.0
SLC15A3,38.0,22.0,24.0,17.0,18.0,115.0
SLC16A13,21.0,11.0,41.0,30.0,19.0,129.0
SLC16A2,23.0,20.0,26.0,76.0,13.0,165.0
SLC17A3,11.0,10.0,25.0,9.0,39.0,95.0
SLC19A3,50.0,23.0,22.0,48.0,16.0,161.0
SLC22A4,47.0,32.0,20.0,20.0,13.0,138.0
SLC25A2,18.0,14.0,16.0,73.0,10.0,138.0
SLC25A21,14.0,8.0,21.0,20.0,51.0,124.0
SLC26A10,13.0,12.0,37.0,36.0,23.0,124.0
SLC2A6,21.0,11.0,17.0,58.0,12.0,131.0
SLC30A9,42.0,12.0,18.0,19.0,18.0,110.0
SLC31A2,24.0,13.0,37.0,32.0,17.0,126.0
SLC33A1,49.0,39.0,25.0,24.0,17.0,166.0
SLC35B3,42.0,18.0,13.0,10.0,8.0,94.0
SLC35F6,20.0,10.0,23.0,53.0,35.0,149.0
SLC35G5,15.0,19.0,44.0,15.0,27.0,118.0
SLC36A1,18.0,12.0,24.0,24.0,33.0,114.0
SLC39A1,42.0,15.0,17.0,17.0,23.0,114.0
SLC39A11,14.0,11.0,34.0,17.0,58.0,137.0
SLC43A1,12.0,10.0,18.0,19.0,36.0,95.0
SLC45A2,42.0,26.0,37.0,26.0,13.0,149.0
SLC4A10,30.0,31.0,23.0,13.0,26.0,127.0
SLC4A3,22.0,31.0,30.0,33.0,31.0,152.0
SLC4A7,37.0,9.0,15.0,17.0,17.0,99.0
SLC4A8,16.0,15.0,16.0,57.0,21.0,138.0
SLC5A11,27.0,16.0,40.0,13.0,21.0,120.0
SLC5A6,25.0,23.0,24.0,59.0,11.0,147.0
SLC6A19,19.0,15.0,15.0,61.0,21.0,140.0
SLC6A8,21.0,12.0,17.0,17.0,35.0,111.0
SLC9A6,30.0,25.0,16.0,20.0,19.0,115.0
SLC9B1,25.0,16.0,30.0,60.0,17.0,143.0
SLC9C2,20.0,16.0,16.0,25.0,32.0,120.0
SLPI,25.0,21.0,25.0,55.0,14.0,145.0
SLTM,19.0,11.0,61.0,17.0,39.0,153.0
SMAD1,43.0,15.0,31.0,30.0,17.0,140.0
SMAD4,23.0,12.0,16.0,19.0,38.0,112.0
SMAD7,26.0,12.0,41.0,31.0,24.0,145.0
SMC3,25.0,13.0,32.0,57.0,21.0,143.0
SMC6,41.0,11.0,16.0,30.0,16.0,126.0
SMCO3,36.0,24.0,12.0,15.0,14.0,102.0
SMG1,41.0,19.0,23.0,62.0,16.0,163.0
SMG7,38.0,17.0,30.0,43.0,19.0,156.0
SMIM26,14.0,10.0,31.0,17.0,39.0,120.0
SMIM5,20.0,15.0,23.0,26.0,32.0,127.0
SMTN,29.0,30.0,15.0,23.0,16.0,115.0
SMTNL1,24.0,10.0,19.0,53.0,17.0,120.0
SMUG1,24.0,14.0,39.0,22.0,16.0,115.0
SMURF1,17.0,10.0,19.0,18.0,40.0,110.0
SNAPC3,21.0,16.0,24.0,54.0,21.0,144.0
SNAPC4,23.0,16.0,20.0,57.0,14.0,134.0
SNED1,29.0,15.0,26.0,41.0,44.0,165.0
SNRNP25,39.0,17.0,30.0,38.0,24.0,148.0
SNRNP27,28.0,21.0,17.0,64.0,15.0,156.0
SNRNP70,17.0,13.0,23.0,42.0,52.0,146.0
SNRPA,28.0,14.0,55.0,28.0,15.0,138.0
SNRPB,29.0,18.0,30.0,35.0,44.0,162.0
SNRPD1,37.0,19.0,27.0,38.0,20.0,157.0
SNRPD2,16.0,15.0,34.0,37.0,53.0,156.0
SNRPF,18.0,14.0,16.0,63.0,14.0,129.0
SNX15,38.0,44.0,32.0,27.0,17.0,164.0
SNX18,30.0,26.0,32.0,19.0,22.0,131.0
SNX21,33.0,25.0,20.0,56.0,14.0,161.0
SNX9,28.0,12.0,15.0,53.0,10.0,127.0
